geometry
POINT (-124.0211622441315 42.01514533047013)
POINT (-123.8670737149509 42.02410890575751)
POINT (-123.7584057312427 42.01653008484996)
POINT (-123.522914264889 42.03005879983523)
POINT (-123.4154628018883 42.04526174665116)
POINT (-123.3278764479465 42.04425528451064)
POINT (-123.2142507789156 42.03324812647798)
POINT (-123.0479011222801 42.0086324874821)
POINT (-122.7756885725295 42.03932615039405)
POINT (-122.6853005545245 42.01654565447897)
POINT (-122.6181906431938 42.03583933907678)
POINT (-122.5375911902912 42.03004997666295)
POINT (-122.4748660386589 42.01185262417159)
POINT (-121.7379414274264 42.01109328575502)
POINT (-121.6436554446543 42.00851442338611)
POINT (-121.480791797441 42.04061397489913)
POINT (-121.2713328823412 42.04238042592934)
POINT (-121.1837015561862 42.01196265650068)
POINT (-120.918216922376 42.02870529217159)
POINT (-120.8537212584392 42.0367773840058)
POINT (-120.7781474994063 42.02058095332025)
POINT (-120.5402930453146 42.03487408259448)
POINT (-120.4514243091672 42.04859913459997)
POINT (-120.2462489055664 42.01821080833727)
POINT (-120.124238112356 42.02482915006992)
POINT (-120.0018551685808 42.02386560368392)
POINT (-119.9240180934114 42.02314455048954)
POINT (-119.7616642846763 42.02269597615694)
POINT (-119.6811455243393 42.0123958421639)
POINT (-119.6134454591393 42.01097664263094)
POINT (-119.3985344476851 42.03501202026021)
POINT (-119.2223074076037 42.0241133350814)
POINT (-119.0196817165578 42.02636149209198)
POINT (-118.5999836452659 42.01697811091449)
POINT (-118.4800056378729 42.03834334715062)
POINT (-118.3613418619607 42.02918361276161)
POINT (-118.2051426475054 42.03080782253064)
POINT (-118.1367080325296 42.0467380828672)
POINT (-118.018549041813 42.0496922180504)
POINT (-117.8808612316105 42.01557328043685)
POINT (-117.8079223591824 42.02358099729646)
POINT (-117.6865113782063 42.03294760331997)
POINT (-117.5727321474523 42.03879156518234)
POINT (-117.415590101881 42.04686707587742)
POINT (-117.2277227751629 42.00927690638656)
POINT (-124.1309956257041 42.0728315759757)
POINT (-124.0048770217597 42.07936355665738)
POINT (-123.9368259620318 42.07199020350114)
POINT (-123.8167196407571 42.08256164544765)
POINT (-123.6989757414628 42.05609493300575)
POINT (-123.6253564596619 42.07061524379549)
POINT (-123.2551685093684 42.08747178563142)
POINT (-123.140749667102 42.08524597485688)
POINT (-123.0540821330788 42.08137483298798)
POINT (-122.9760371103212 42.07622581164944)
POINT (-122.8798754021181 42.0708221881041)
POINT (-122.4716413048004 42.0754281327806)
POINT (-122.4078860770563 42.08076790286662)
POINT (-122.3103834858849 42.073154786955)
POINT (-122.2210779613077 42.07597454985993)
POINT (-121.9029456572222 42.0572376300276)
POINT (-121.7796358993964 42.05890678248993)
POINT (-121.3703909607378 42.07816052774652)
POINT (-121.2154139572127 42.07188026334534)
POINT (-121.1061977127854 42.07718781867171)
POINT (-121.0297147174538 42.06008712073881)
POINT (-120.9624511791078 42.08018893417086)
POINT (-120.7073276973308 42.06961170249085)
POINT (-120.3015073996097 42.06557230983355)
POINT (-120.1821690541278 42.06125285789462)
POINT (-120.0614099320346 42.05567907074676)
POINT (-119.8347092026153 42.08370462221899)
POINT (-119.7031967372923 42.09251226298361)
POINT (-119.6158425727979 42.09408946840363)
POINT (-119.5300788146901 42.07336673368377)
POINT (-119.3256990380731 42.07780612235175)
POINT (-119.0802492461428 42.08836969993624)
POINT (-118.9681276499657 42.0767426820684)
POINT (-118.8931438829078 42.05779485297548)
POINT (-118.7766424686201 42.05263526976947)
POINT (-118.6560032068602 42.08731148904332)
POINT (-118.2859767741682 42.05473729774073)
POINT (-117.4741995643308 42.08831404440981)
POINT (-117.3028751110816 42.07352770614641)
POINT (-117.1561482346034 42.07646978902785)
POINT (-117.0420513559654 42.05935687000638)
