geometry
POINT (-124.0384101740791 42.03113210601826)
POINT (-123.5290019834749 42.09503309465738)
POINT (-123.1694145879438 42.05528718187031)
POINT (-122.9600171746303 42.0793635518931)
POINT (-122.5411386861758 42.0991016686497)
POINT (-122.0065395018674 42.05201483037626)
POINT (-121.8125992707054 42.05966750125057)
POINT (-120.7957121909682 42.07439387862758)
POINT (-120.6087532779578 42.02855771861283)
POINT (-120.0190985710644 42.0156741078988)
POINT (-119.7840158463139 42.05503806209092)
POINT (-119.474294976575 42.04066407795301)
POINT (-119.296157996666 42.06814529326235)
POINT (-119.0617429097643 42.08603456038941)
POINT (-118.6865192176726 42.0595867585269)
POINT (-118.3335530315643 42.02483922368663)
POINT (-118.0751767880556 42.03474132717819)
POINT (-117.9308006278147 42.03434265426949)
POINT (-117.5079571458236 42.03199673470709)
POINT (-117.2950800166038 42.04896310828207)
POINT (-124.0813989512592 42.19688669256819)
POINT (-123.9055992572645 42.13868836203899)
POINT (-123.741133976817 42.14590322039093)
POINT (-122.3974262054135 42.11256200623869)
POINT (-122.2007291501559 42.10854868496711)
POINT (-121.6911922132168 42.14253784294452)
POINT (-121.3782024710573 42.12727871612942)
POINT (-121.2109315095602 42.1718546767495)
POINT (-120.9969715133647 42.12294273663652)
POINT (-120.5522957132191 42.17624334212418)
POINT (-120.4301040206084 42.10611100910838)
POINT (-120.2461218206474 42.16044223082383)
POINT (-120.0873375670098 42.13624083596142)
POINT (-119.3768195126137 42.20005190375991)
POINT (-118.9449732103029 42.18044135997749)
POINT (-118.809928742508 42.14764630455981)
POINT (-118.5173313420639 42.14650034624754)
POINT (-118.1760430014779 42.19682797753282)
POINT (-118.0147528668302 42.19845233852457)
POINT (-117.8487626782098 42.16019922615851)
POINT (-117.7165434378381 42.12000114878249)
POINT (-117.5855710851315 42.16470519536372)
POINT (-117.3748158315575 42.19482963763632)
POINT (-124.2238058292318 42.2227177555972)
POINT (-123.3992135377005 42.2177494464695)
POINT (-123.1755848355761 42.22260484180657)
POINT (-122.7796505924315 42.22907087138073)
POINT (-122.5205877907889 42.2713189495652)
POINT (-122.3268965500328 42.27447072215103)
POINT (-122.0518366149863 42.26037741462677)
POINT (-121.8239531901732 42.21720167977492)
POINT (-121.5509479272748 42.20975402509607)
POINT (-120.9474152535749 42.28741637287227)
POINT (-120.6946791074122 42.2863945010526)
POINT (-120.4328556385788 42.25415014849391)
POINT (-119.9396132210791 42.26813134635525)
POINT (-119.6498306412159 42.29247339545891)
POINT (-119.5298985353063 42.21155616624008)
POINT (-119.077033486413 42.2315870775674)
POINT (-118.739412350767 42.28909449071688)
POINT (-117.1983132922625 42.2058953721065)
POINT (-123.9825867665757 42.33018388734414)
POINT (-123.8375345390472 42.33202119558027)
POINT (-123.6595432743793 42.30947299604919)
POINT (-123.5259447413113 42.35140537837997)
POINT (-122.9764620829436 42.31237999465621)
POINT (-122.7465131583192 42.36511083409501)
POINT (-122.1748025329572 42.38255131663246)
POINT (-121.7649903091025 42.36293486214942)
POINT (-121.4465599779736 42.3575781916287)
POINT (-121.0912160244288 42.38122690929844)
POINT (-120.8203650125746 42.36785053575001)
POINT (-119.8381831140691 42.37970121887282)
POINT (-119.4944746384394 42.3677325544647)
POINT (-118.9445180617316 42.3635835320892)
